"Condition","Target","Metric","OR","Value","Std. Error","t value","p value"
"with-side","Conciseness","c_coeff",0.947460250818909,-0.0539702945478631,0.129245573843882,-0.417579441544781,0.676254630421205
"with-side","Conciseness","`CodeT5-plus_CS`",0.73352233219045,-0.309897235795156,0.16000545882665,-1.93679164490818,0.05277081765715
"with-side","Conciseness","SIDEpython",1.10344874594175,0.0984404988228712,0.164606576885086,0.59803502803897,0.549816560934034
"with-side","Fluency","`BLEU-1`",0.784085763944437,-0.243236871828412,0.249162990679839,-0.97621589452247,0.328957488254407
"with-side","Fluency","`BERTScore-R`",1.67231297090007,0.514207680698528,0.404153985749507,1.27230634567398,0.203264294831675
"with-side","Fluency","SentenceBERT_CS",1.14755989759313,0.137637859928515,0.256643643426487,0.536299508886686,0.591751569975936
"with-side","Fluency","InferSent_CS",1.73124709092336,0.548842010619022,0.283476078384107,1.93611402326283,0.0528537373843479
"with-side","Fluency","`ROUGE-1-P`",0.792758255648999,-0.232236951680347,0.342452022063301,-0.678159090085381,0.497670828181855
"with-side","Fluency","`ROUGE-W-R`",1.19477972557006,0.177961838325701,0.288809075675043,0.616191987421948,0.537767816084507
"with-side","Fluency","c_coeff",1.06501334429703,0.0629873289392542,0.179797113489781,0.350324472494015,0.726095201137244
"with-side","Fluency","`CodeT5-plus_CS`",0.616022896106438,-0.48447114713541,0.218891612549568,-2.21329242126946,0.026877491784311
"with-side","Fluency","SIDEpython",1.06062980419004,0.0588628865801048,0.225661611203723,0.260845813632716,0.794211412904571
